  TCP    127.0.0.1:65481        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65482        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65487        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65488        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65489        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65497        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65500        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65501        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65505        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65509        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65510        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65511        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65515        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65516        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65518        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65520        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65523        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65524        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65526        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65530        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65531        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:8000         TIME_WAIT       0
  TCP    [::1]:49158            [::1]:8000             SYN_SENT        14904
  TCP    [::1]:49159            [::1]:8000             SYN_SENT        11492
  TCP    [::1]:49160            [::1]:8000             SYN_SENT        744
